nationality	time_on_page	layer	adapted_to_nationality	avatar_pictures_shown	manipulation_lev	stories_read	stories_read_dichotomized	stories_rated	stories_rated_dichotomized	comments_written	comments_written_dichotomized	stories_written	stories_written_dichotomized	avatars_clicked	avatars_clicked_dichotomized	newsletter	registered	photo
ES	62.0	dialect	FALSE	FALSE	dialect_mx	0	FALSE	1	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	117.0	symbols	FALSE	FALSE	symbols_mx	0	FALSE	4	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	611.0	ugc	NEUTRAL	FALSE	ugc_ne	1	TRUE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	30.0	ugc	FALSE	FALSE	ugc_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	NA	symbols	NEUTRAL	FALSE	symbols_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	328.0	ugc	FALSE	FALSE	ugc_mx	3	TRUE	2	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	20.0	ugc	TRUE	FALSE	ugc_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	NA	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	200.0	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	169.0	dialect	FALSE	FALSE	dialect_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	1	TRUE	FALSE	FALSE	FALSE
MX	120.0	ugc	TRUE	FALSE	ugc_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	29.0	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	10.0	ugc	NEUTRAL	FALSE	ugc_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	10.0	dialect	FALSE	FALSE	dialect_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	NA	dialect	FALSE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	NA	symbols	NEUTRAL	FALSE	symbols_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	10.0	dialect	FALSE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	NA	symbols	FALSE	FALSE	symbols_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	137.0	ugc	FALSE	FALSE	ugc_es	0	FALSE	1	TRUE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	743.0	dialect	TRUE	FALSE	dialect_mx	4	TRUE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	169.0	dialect	FALSE	FALSE	dialect_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	10.0	symbols	NEUTRAL	FALSE	symbols_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	7.0	ugc	TRUE	FALSE	ugc_mx	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
MX	24.0	symbols	FALSE	FALSE	symbols_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	TRUE	FALSE	FALSE
MX	NA	symbols	FALSE	FALSE	symbols_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	245.0	dialect	NEUTRAL	FALSE	dialect_ne	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
ES	95.0	ugc	TRUE	FALSE	ugc_es	0	FALSE	0	FALSE	0	FALSE	0	FALSE	0	FALSE	FALSE	FALSE	FALSE
